,Date,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADS,ADSK,AEE,AEP,AES,AFL,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,ANTM,AON,AOS,APA,APD,APH,APTV,ARE,ATO,ATVI,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BAX,BBY,BDX,BEN,BF.B,BIIB,BK,BKNG,BKR,BLK,BLL,BMY,BR,BRK.B,BSX,BWA,BXP,C,CAG,CAH,CARR,CAT,CB,CBOE,CBRE,CCI,CCL,CDNS,CDW,CE,CERN,CF,CFG,CHD,CHRW,CHTR,CI,CINF,CL,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNC,CNP,COF,COG,COO,COP,COST,COTY,CPB,CPRT,CRM,CSCO,CSX,CTAS,CTL,CTSH,CTVA,CTXS,CVS,CVX,CXO,D,DAL,DD,DE,DFS,DG,DGX,DHI,DHR,DIS,DISCA,DISCK,DISH,DLR,DLTR,DOV,DOW,DPZ,DRE,DRI,DTE,DUK,DVA,DVN,DXC,DXCM,EA,EBAY,ECL,ED,EFX,EIX,EL,EMN,EMR,EOG,EQIX,EQR,ES,ESS,ETFC,ETN,ETR,EVRG,EW,EXC,EXPD,EXPE,EXR,F,FANG,FAST,FB,FBHS,FCX,FDX,FE,FFIV,FIS,FISV,FITB,FLIR,FLS,FLT,FMC,FOX,FOXA,FRC,FRT,FTI,FTNT,FTV,GD,GE,GILD,GIS,GL,GLW,GM,GOOG,GOOGL,GPC,GPN,GPS,GRMN,GS,GWW,HAL,HAS,HBAN,HBI,HCA,HD,HES,HFC,HIG,HII,HLT,HOG,HOLX,HON,HPE,HPQ,HRB,HRL,HSIC,HST,HSY,HUM,HWM,IBM,ICE,IDXX,IEX,IFF,ILMN,INCY,INFO,INTC,INTU,IP,IPG,IPGP,IQV,IR,IRM,ISRG,IT,ITW,IVZ,J,JBHT,JCI,JKHY,JNJ,JNPR,JPM,JWN,K,KEY,KEYS,KHC,KIM,KLAC,KMB,KMI,KMX,KO,KR,KSS,KSU,L,LB,LDOS,LEG,LEN,LH,LHX,LIN,LKQ,LLY,LMT,LNC,LNT,LOW,LRCX,LUV,LVS,LW,LYB,LYV,MA,MAA,MAR,MAS,MCD,MCHP,MCK,MCO,MDLZ,MDT,MET,MGM,MHK,MKC,MKTX,MLM,MMC,MMM,MNST,MO,MOS,MPC,MRK,MRO,MS,MSCI,MSFT,MSI,MTB,MTD,MU,MXIM,MYL,NBL,NCLH,NDAQ,NEE,NEM,NFLX,NI,NKE,NLOK,NLSN,NOC,NOV,NOW,NRG,NSC,NTAP,NTRS,NUE,NVDA,NVR,NWL,NWS,NWSA,O,ODFL,OKE,OMC,ORCL,ORLY,OTIS,OXY,PAYC,PAYX,PBCT,PCAR,PEAK,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKG,PKI,PLD,PM,PNC,PNR,PNW,PPG,PPL,PRGO,PRU,PSA,PSX,PVH,PWR,PXD,PYPL,QCOM,QRVO,RCL,RE,REG,REGN,RF,RHI,RJF,RL,RMD,ROK,ROL,ROP,ROST,RSG,RTX,SBAC,SBUX,SCHW,SEE,SHW,SIVB,SJM,SLB,SLG,SNA,SNPS,SO,SPG,SPGI,SRE,STE,STT,STX,STZ,SWK,SWKS,SYF,SYK,SYY,T,TAP,TDG,TEL,TFC,TFX,TGT,TIF,TJX,TMO,TMUS,TPR,TROW,TRV,TSCO,TSN,TT,TTWO,TWTR,TXN,TXT,UA,UAA,UAL,UDR,UHS,ULTA,UNH,UNM,UNP,UPS,URI,USB,V,VAR,VFC,VIAC,VLO,VMC,VNO,VRSK,VRSN,VRTX,VTR,VZ,WAB,WAT,WBA,WDC,WEC,WELL,WFC,WHR,WLTW,WM,WMB,WMT,WRB,WRK,WST,WU,WY,WYNN,XEL,XLNX,XOM,XRAY,XRX,XYL,YUM,ZBH,ZBRA,ZION,ZTS
0,2016-01-03,66,5,8,33,0,59,0,14,28,45,22,32,60,35,53,0,55,47,17,78,0,0,0,41,19,0,25,52,37,12,4,0,10,16,33,22,8,7,7,0,0,20,0,45,28,0,0,36,11,21,52,8,0,27,41,0,3,27,0,19,0,59,0,0,22,0,19,0,44,27,33,24,14,0,0,69,0,57,38,44,41,4,60,54,2,0,15,57,0,29,0,0,0,0,34,0,38,0,26,0,38,69,10,78,100,24,12,26,0,66,66,7,47,23,25,21,17,0,0,28,0,15,37,87,0,57,3,41,51,23,7,0,0,79,20,0,0,56,20,0,0,7,13,32,57,60,0,19,15,0,0,5,75,0,71,3,0,33,57,19,9,0,0,47,27,0,53,46,0,21,0,0,0,0,44,23,85,32,0,52,0,92,0,28,0,0,83,100,0,27,32,0,0,0,26,0,0,41,69,3,35,51,0,70,48,33,52,0,67,13,33,0,24,37,25,28,43,38,17,41,21,23,0,27,0,20,14,0,21,0,0,55,0,0,0,43,69,0,26,18,24,0,31,17,32,40,33,0,0,31,14,16,52,0,0,79,0,19,0,13,7,14,24,58,61,86,5,21,0,15,41,30,29,52,21,37,73,47,36,67,39,0,0,84,0,30,10,0,23,59,29,7,0,0,0,0,70,26,29,38,0,10,34,20,20,0,55,2,0,0,0,0,34,19,0,88,17,15,17,9,74,41,6,23,35,0,10,0,11,18,0,0,54,15,14,29,0,0,0,58,16,14,18,41,0,55,0,7,42,0,33,0,63,22,9,34,0,18,10,0,14,0,0,29,67,58,40,9,0,50,0,48,0,0,0,0,21,59,0,0,14,26,76,21,12,13,0,38,54,20,19,42,1,50,63,46,50,0,29,0,50,0,0,30,0,0,0,51,9,28,23,14,0,0,12,0,18,33,58,29,0,31,60,0,21,16,0,0,0,0,0,86,63,28,36,18,0,0,21,89,20,23,0,26,0,12,34,10,3,12,0,8,62,16,2,0,57,10,7,66,45,55,50,43,66,17,23,0,13,0,0,0,0,0,0,30,0,44,7,18,13,80,9,11,52,80,24,22,0,0,0,49,80,14,28,0,18,73,0,0,27,28,0,16,0
1,2016-01-10,64,9,0,39,6,52,0,13,27,43,21,40,66,43,0,0,21,71,0,69,0,0,28,0,18,0,40,48,35,11,7,0,8,0,31,21,5,9,21,0,0,15,27,51,26,0,0,39,10,21,0,0,31,50,0,0,7,32,0,12,0,89,0,0,36,0,27,100,0,0,39,8,0,0,0,62,28,0,18,31,10,5,57,17,3,0,14,78,0,37,13,36,18,0,33,0,40,0,31,0,42,55,79,68,32,29,12,50,12,54,67,5,0,0,12,23,22,0,11,45,0,0,31,35,36,53,13,52,56,22,21,0,0,15,25,0,0,93,0,0,48,8,0,30,14,26,25,36,14,0,14,9,75,0,83,0,0,35,18,54,17,0,34,52,44,0,34,0,0,30,22,0,11,0,43,34,77,29,0,67,10,63,0,27,0,14,40,0,0,39,31,21,17,0,49,13,0,26,77,3,21,98,0,55,37,26,66,44,21,0,37,98,51,47,49,0,76,43,33,20,20,22,0,63,41,38,13,0,0,0,0,0,27,38,0,62,55,26,20,53,27,0,30,40,0,26,0,0,0,34,27,10,50,0,0,54,52,37,0,15,14,13,0,55,66,50,10,20,24,0,48,0,24,0,0,57,49,33,0,45,19,94,0,81,49,39,28,0,22,59,28,5,0,0,0,8,76,25,40,100,44,0,32,45,0,31,44,3,0,82,0,0,64,12,0,70,49,12,50,4,62,26,7,22,11,0,16,0,11,0,0,0,44,0,16,14,9,0,0,18,9,12,29,0,50,26,45,0,40,0,24,0,65,63,14,0,0,8,49,5,0,0,0,0,61,50,33,0,0,14,37,34,0,0,49,28,40,54,26,26,69,29,0,28,24,0,0,36,35,6,13,20,1,77,75,0,48,0,27,12,29,0,0,28,0,0,0,0,17,0,35,0,0,0,28,0,0,0,51,19,0,30,52,25,0,0,35,0,0,0,71,77,45,27,38,17,0,0,0,89,19,11,0,98,0,0,11,38,16,21,0,3,59,4,1,0,14,5,8,54,0,45,28,61,52,0,0,0,13,30,0,0,0,0,24,20,0,21,24,17,13,94,17,11,0,66,45,13,0,51,32,54,58,5,27,0,34,51,16,0,26,0,0,31,0
2,2016-01-17,68,7,16,27,6,58,17,14,41,0,22,0,98,30,0,0,21,66,0,70,0,0,0,0,38,0,17,55,36,34,0,0,9,32,40,29,11,10,7,0,0,17,28,35,27,0,0,45,10,9,0,4,0,0,27,31,5,51,0,6,0,66,0,4,59,0,18,21,0,0,24,16,0,0,0,66,0,37,37,47,50,5,0,0,2,0,15,40,0,19,54,0,0,22,67,0,52,0,25,15,48,28,41,87,49,71,48,0,13,100,67,0,45,0,37,10,22,0,0,28,0,0,30,48,0,59,14,67,58,27,7,0,13,31,15,0,0,59,0,0,99,9,0,16,14,27,0,75,59,0,0,9,79,0,84,0,69,33,19,0,9,0,0,41,45,49,17,45,0,20,0,0,0,0,45,15,76,45,0,52,21,51,0,0,0,57,20,33,0,54,31,0,0,0,25,13,0,40,70,4,22,50,0,54,38,22,85,0,11,13,55,0,19,53,0,0,50,57,17,81,41,0,0,22,0,0,27,31,21,33,0,27,14,58,0,100,78,0,15,18,4,0,30,30,16,68,65,0,0,56,56,32,56,18,0,64,0,19,0,15,15,3,12,66,60,43,5,13,0,15,64,59,21,34,0,59,72,28,0,27,19,0,0,55,30,0,0,0,0,60,0,15,0,0,27,0,83,0,29,57,34,10,0,20,0,0,33,3,38,21,0,17,17,12,0,80,17,13,34,9,77,68,7,45,46,0,31,100,0,0,0,45,36,14,26,38,18,0,0,57,24,16,6,0,0,0,0,22,55,9,58,0,72,0,9,0,32,35,10,7,0,0,0,28,51,64,17,18,0,60,76,29,0,0,51,29,24,53,0,0,0,26,25,37,62,26,0,37,36,0,16,0,1,59,43,0,21,47,0,13,30,0,97,29,0,56,6,17,11,27,28,14,0,39,23,95,18,33,67,15,0,31,65,0,0,0,0,0,44,0,0,74,43,0,43,63,0,10,20,53,39,11,0,51,27,0,34,19,3,24,24,3,28,4,2,22,42,3,11,75,44,45,59,31,53,17,0,0,65,0,0,0,0,8,12,9,0,11,7,0,13,93,13,0,0,45,0,30,0,0,0,41,45,11,0,0,28,58,16,0,40,0,0,26,0
3,2016-01-24,78,7,8,55,12,65,0,28,14,0,44,0,100,41,26,47,21,100,17,100,0,0,0,0,57,0,49,57,0,0,8,0,9,63,24,22,8,26,7,0,0,19,0,100,27,0,0,51,0,5,0,4,0,78,81,0,7,35,0,25,0,80,0,4,66,0,9,62,0,0,48,23,0,0,0,79,28,55,37,55,71,4,0,36,0,0,15,45,0,38,27,0,37,0,45,28,52,0,31,0,40,22,71,76,16,36,48,0,25,82,74,5,23,0,20,24,6,31,22,59,0,30,36,24,0,50,0,96,51,36,7,0,0,0,19,0,0,59,0,8,49,7,0,31,14,21,0,0,0,0,0,11,86,0,100,5,0,34,74,0,9,0,0,37,54,0,17,22,0,30,45,0,0,0,62,42,76,49,0,86,20,53,0,0,0,28,41,0,0,13,38,0,34,0,0,13,0,40,65,7,34,70,0,48,57,17,17,45,44,25,43,50,33,71,75,0,50,52,17,100,10,45,20,27,28,39,0,46,62,66,0,0,0,19,0,74,77,0,10,36,4,36,41,8,15,70,0,0,0,52,14,16,72,0,0,63,0,75,0,20,36,15,0,68,70,68,5,20,0,0,55,0,4,34,0,51,93,46,0,36,77,24,0,55,10,10,19,37,0,59,0,7,62,23,0,8,81,25,57,63,68,20,66,26,19,16,39,3,0,21,0,0,33,15,0,94,33,14,17,38,77,20,9,11,0,0,34,0,0,0,2,45,0,0,16,19,0,0,0,0,9,16,36,80,0,0,0,0,14,18,0,0,67,0,5,0,64,17,100,7,0,0,0,0,87,76,51,9,24,54,0,47,48,38,0,0,24,51,27,0,28,18,0,25,12,13,0,0,36,13,8,62,2,94,62,0,28,0,0,51,24,0,0,29,0,56,0,17,28,27,37,27,0,0,29,0,18,0,71,15,0,21,41,0,0,0,0,0,0,20,0,85,38,0,31,9,0,0,20,27,0,0,37,25,0,45,0,58,7,50,0,3,65,16,1,0,14,9,10,74,0,43,58,19,61,67,0,0,39,0,0,0,0,0,0,23,0,86,3,52,39,94,9,22,51,34,46,24,0,35,0,96,82,17,0,0,22,69,0,0,27,0,0,10,0
4,2016-01-31,81,2,32,26,12,82,16,34,0,0,21,10,64,36,13,0,31,93,83,72,0,0,0,0,18,0,24,63,35,22,7,0,11,31,16,28,11,13,7,0,14,13,27,42,26,28,0,55,41,9,0,4,0,25,0,0,8,45,44,6,0,97,89,9,36,0,71,20,0,0,54,15,68,0,0,88,28,0,66,51,39,4,35,35,3,0,28,83,0,37,13,36,36,0,55,27,36,19,25,0,48,51,40,63,16,29,0,50,12,77,79,9,0,22,36,10,11,0,11,32,0,30,40,47,0,60,0,95,54,9,7,0,25,30,15,0,0,100,19,8,0,7,26,31,27,63,0,18,29,0,14,11,89,0,82,5,0,36,55,0,0,35,0,41,26,36,26,22,0,40,67,0,22,0,47,23,87,36,0,59,0,64,0,55,0,42,60,32,0,13,37,43,0,0,0,0,32,13,62,12,67,10,0,51,55,58,100,0,38,25,48,0,14,76,12,27,77,48,33,20,40,22,0,21,14,38,13,61,20,0,0,27,0,0,0,52,70,27,25,36,16,0,45,18,0,89,0,19,0,72,14,5,81,0,0,93,0,0,0,20,14,13,0,80,74,71,10,27,0,0,25,0,28,25,0,50,76,57,17,62,19,0,0,90,0,10,10,0,22,58,0,7,0,23,0,0,98,25,34,25,0,10,65,39,0,15,72,3,0,21,35,34,32,6,0,96,82,21,51,4,100,40,6,11,45,0,20,0,0,17,2,22,44,0,16,46,18,0,0,19,11,16,47,0,0,0,0,0,41,0,48,0,72,0,9,33,32,51,69,5,0,0,0,0,98,50,39,27,0,58,37,92,0,37,0,0,44,55,0,0,14,25,0,20,24,65,32,0,17,26,13,61,2,67,57,0,41,0,0,12,31,38,0,0,62,0,6,0,11,27,41,0,0,38,40,0,17,0,100,26,0,0,35,50,60,0,0,0,21,20,0,93,61,0,50,88,0,0,40,64,0,22,0,0,0,0,0,38,13,36,47,3,27,0,2,0,14,13,8,18,22,48,67,42,68,17,22,0,63,0,0,0,0,0,0,34,0,63,24,17,26,99,0,21,0,55,23,15,0,0,0,74,55,14,0,0,26,66,31,51,39,0,0,22,0
5,2016-02-07,74,5,32,21,6,54,0,14,67,0,0,41,52,50,13,23,74,60,0,73,0,0,56,79,19,0,49,57,0,0,11,0,8,47,24,36,12,10,7,0,0,21,0,52,0,0,0,52,100,36,50,8,0,0,13,61,11,64,0,6,38,80,45,9,43,0,27,61,0,26,63,0,14,0,0,83,55,55,43,48,70,7,23,52,0,0,29,60,34,0,27,0,36,0,55,0,43,0,18,44,40,45,68,75,16,53,24,0,24,72,72,2,45,0,31,47,27,31,43,65,0,29,38,12,35,61,3,90,49,22,14,0,12,30,27,0,0,77,0,0,0,8,13,45,13,62,0,0,28,0,0,6,83,0,68,3,0,34,0,18,9,34,0,35,26,23,17,43,0,49,22,0,11,0,39,33,71,36,37,66,0,71,0,13,0,27,78,0,35,39,32,21,16,26,24,0,0,13,56,9,21,58,27,46,56,29,33,0,69,0,42,0,18,65,24,0,55,48,0,58,20,22,0,41,0,0,26,30,100,32,37,26,27,19,0,65,67,0,20,0,23,69,37,12,30,60,31,0,0,50,27,5,70,0,0,76,0,18,0,18,14,36,23,55,70,66,0,23,0,15,56,0,20,16,40,28,66,47,0,71,19,47,0,36,0,29,47,0,44,60,0,7,20,0,26,15,89,0,21,41,0,9,0,64,0,15,42,6,0,20,0,17,0,15,0,96,16,14,17,12,77,65,8,32,22,0,23,0,0,0,1,22,86,14,14,32,18,0,0,0,2,17,40,0,0,0,0,0,53,0,16,0,64,0,18,0,0,25,68,5,0,0,0,0,68,55,49,9,46,33,37,96,0,0,0,0,20,52,0,0,41,32,0,40,59,13,32,0,17,32,13,20,2,90,71,0,20,0,0,25,27,0,0,28,0,0,6,16,14,0,36,26,35,0,17,46,0,0,67,22,0,40,23,0,39,0,0,36,0,0,35,88,49,27,34,34,0,0,39,45,0,22,0,0,26,22,65,47,3,55,0,5,22,0,1,21,27,11,9,27,0,51,38,67,60,16,22,0,37,0,0,0,0,0,12,22,0,41,10,17,25,86,41,0,0,11,22,10,0,17,0,100,68,13,0,27,21,61,46,0,26,27,0,12,0
6,2016-02-14,70,0,23,20,6,57,16,7,13,21,21,79,36,55,0,23,20,49,33,73,0,0,27,0,36,0,32,52,0,11,4,0,8,15,15,28,11,11,7,0,0,17,53,29,0,0,0,47,67,11,0,0,0,75,0,0,10,36,0,18,0,63,0,8,22,0,18,0,42,0,46,7,13,0,92,65,0,35,24,42,97,8,79,18,0,0,42,58,33,55,0,0,18,0,43,0,58,19,47,0,40,36,60,91,16,29,23,25,12,55,77,5,0,0,28,20,17,0,0,40,0,15,37,12,0,61,11,66,53,4,14,0,13,0,17,0,0,64,19,8,0,6,0,62,7,69,25,0,58,0,0,6,80,39,84,0,0,34,55,0,9,70,35,29,35,0,17,44,0,10,0,0,0,0,43,15,69,37,0,85,0,61,0,41,0,14,20,0,0,0,36,0,17,0,0,13,0,0,61,9,38,30,28,53,41,19,50,0,43,12,32,0,5,58,25,55,42,42,34,20,40,0,0,32,14,19,13,15,41,32,38,0,0,0,36,54,75,0,15,18,16,0,30,17,15,43,0,0,0,43,42,10,64,0,0,71,0,0,0,9,43,4,81,60,69,84,0,30,0,0,100,0,28,17,0,14,83,36,0,36,38,0,0,36,0,10,19,0,0,55,0,8,0,0,27,0,85,0,25,34,34,0,0,13,19,15,43,6,0,42,0,17,49,15,0,89,33,11,0,25,84,20,4,11,56,0,20,0,0,17,0,22,53,0,8,18,9,0,0,0,4,14,23,59,0,0,0,14,27,0,32,0,65,0,0,33,0,26,30,2,0,0,0,0,50,44,34,27,23,59,0,41,0,0,0,29,31,52,0,0,42,15,74,12,36,13,0,0,0,7,16,0,1,83,50,23,28,46,28,25,37,0,48,0,63,55,0,0,6,0,37,0,36,0,6,0,18,0,67,11,0,20,41,75,0,0,0,0,0,0,36,79,51,0,19,53,45,10,0,36,19,0,0,0,0,11,11,38,0,28,24,3,60,12,0,21,14,14,13,28,0,44,29,46,53,50,22,0,26,0,0,0,0,8,12,18,0,32,14,0,0,98,17,0,0,34,0,24,0,0,32,41,63,8,55,27,20,59,32,0,40,0,0,6,48
7,2016-02-21,71,9,0,20,6,60,16,7,53,0,0,30,39,29,0,0,31,60,0,56,0,0,27,0,18,0,16,54,0,11,4,0,7,46,8,48,12,7,0,0,0,26,27,84,0,0,0,43,30,18,0,4,0,25,13,30,6,45,43,36,0,68,0,4,29,0,9,20,0,0,46,15,13,0,0,79,28,18,54,44,39,4,23,17,0,0,42,78,33,46,26,0,0,0,76,0,40,0,31,0,42,36,30,93,16,63,0,25,12,80,79,0,22,0,24,20,16,0,0,44,0,30,31,23,71,60,3,55,51,13,7,0,25,15,25,0,0,60,0,0,0,5,13,15,0,47,0,0,29,0,0,8,76,0,82,11,0,30,36,18,17,0,0,38,17,12,51,22,0,79,22,0,11,0,47,22,74,27,36,50,10,60,0,14,20,69,59,32,0,13,29,0,17,0,25,0,0,26,46,4,38,49,0,45,77,38,83,15,37,37,58,0,28,71,61,0,28,62,0,78,40,44,0,31,0,38,26,60,20,0,0,26,27,38,0,70,71,0,15,35,20,0,33,19,0,40,31,0,0,67,41,15,57,0,0,74,0,18,0,20,7,15,11,67,60,74,20,18,0,15,51,0,24,33,20,36,65,33,0,32,38,0,0,54,19,10,9,36,43,54,0,10,20,0,0,0,85,25,40,36,67,10,0,19,0,0,53,3,0,0,0,33,16,23,41,87,16,19,33,50,74,33,4,11,0,0,30,0,11,17,0,0,52,0,11,55,36,0,0,37,9,14,6,39,0,0,0,0,40,0,24,0,53,21,9,33,0,17,29,0,0,0,0,55,62,37,55,9,23,34,0,29,0,37,49,0,57,51,26,0,27,22,0,16,48,26,64,36,0,6,19,0,1,73,90,0,7,0,0,25,42,0,0,29,31,0,0,82,6,0,29,27,0,0,6,0,0,32,67,24,0,20,34,25,20,0,0,0,21,0,35,80,55,27,46,35,44,0,0,51,0,0,0,0,0,11,22,38,3,34,0,5,41,8,1,0,0,14,16,36,22,34,48,53,57,33,22,0,13,0,0,0,0,0,12,27,0,0,20,17,13,87,4,11,0,11,23,13,0,0,96,54,69,11,54,0,15,71,0,0,13,0,49,16,0
8,2016-02-28,71,5,23,20,0,55,16,7,13,0,21,39,42,45,0,23,20,58,49,60,0,0,0,0,18,0,32,53,0,22,7,0,10,61,15,48,13,5,14,0,13,7,0,67,26,0,0,44,23,14,0,12,31,0,52,0,6,19,0,12,0,100,0,13,100,0,9,20,0,12,46,0,0,0,0,78,0,18,30,29,58,6,34,52,0,26,56,38,0,27,0,0,0,0,75,0,39,0,27,0,29,31,29,76,16,45,12,0,24,74,84,9,0,0,12,10,43,0,0,37,0,0,33,12,0,57,10,58,54,9,7,0,37,0,15,0,0,75,0,46,48,5,38,0,27,52,0,18,0,0,28,10,66,38,75,3,33,33,36,36,0,0,68,38,61,0,8,65,0,10,44,0,22,0,44,11,68,33,0,100,0,49,0,41,0,69,39,0,35,13,37,21,0,0,0,0,32,26,59,7,58,29,0,44,45,24,33,0,32,0,58,0,28,66,24,0,69,50,33,58,99,22,0,31,0,38,52,15,40,32,0,0,40,0,0,59,63,0,15,18,8,35,32,20,0,62,0,0,0,54,0,20,61,0,27,67,0,54,0,12,14,13,0,66,67,33,10,26,0,0,42,0,28,25,0,42,72,24,0,51,19,0,0,45,19,10,47,0,0,56,0,7,0,0,0,8,77,74,52,41,33,28,0,71,19,91,54,7,0,20,0,17,16,14,0,91,49,19,16,50,75,39,3,43,33,35,29,0,0,0,0,22,9,0,11,27,9,0,70,0,4,13,17,19,0,53,0,0,27,0,24,0,63,0,9,0,0,8,58,5,0,0,0,27,61,31,44,9,69,29,37,57,47,36,0,0,33,54,0,0,14,14,24,20,24,51,0,36,17,6,11,20,0,100,52,0,20,0,0,0,23,37,47,0,0,0,0,65,8,52,28,13,0,0,28,46,0,0,56,48,0,40,46,0,0,0,35,0,21,0,0,81,39,0,15,26,0,20,20,48,0,11,0,0,0,22,32,56,0,24,0,3,32,4,1,0,0,8,8,27,0,45,38,56,61,33,22,0,38,0,0,37,0,0,0,18,0,31,10,34,13,100,4,11,0,66,23,18,0,17,0,53,65,13,27,0,23,58,0,0,39,0,97,19,0
9,2016-03-06,67,5,16,16,17,42,16,20,0,0,0,10,32,36,13,0,41,48,17,62,0,0,0,39,0,0,24,52,0,11,4,0,8,92,31,21,13,5,0,0,0,11,27,55,26,0,0,41,20,7,0,16,0,50,66,0,8,43,87,18,0,91,0,4,72,0,18,20,0,0,62,23,14,0,0,84,0,54,30,39,29,4,34,17,5,26,57,68,33,37,13,36,36,0,0,0,61,0,43,15,35,46,20,80,16,29,0,25,37,68,73,2,66,0,24,30,38,0,21,38,0,0,37,59,0,52,5,49,55,13,29,27,25,15,13,0,0,48,0,8,0,5,13,15,7,31,50,0,43,0,0,6,79,0,76,5,0,35,18,72,17,35,0,31,44,24,9,22,0,20,22,0,0,0,46,15,61,21,0,67,20,63,0,27,0,0,60,32,0,39,28,0,100,0,25,0,0,13,59,7,25,39,0,48,41,14,17,15,16,12,32,0,19,57,49,27,42,43,33,78,10,0,20,63,27,19,66,45,41,0,0,27,0,19,0,81,42,0,10,18,16,35,30,9,46,18,0,0,0,51,14,10,55,0,0,63,0,18,0,17,7,12,0,61,57,54,5,30,0,15,48,0,16,42,0,7,70,24,0,45,76,24,0,36,20,0,0,36,0,57,0,7,0,0,0,0,84,25,31,42,22,19,32,32,19,0,41,6,0,21,0,67,16,6,0,85,0,9,25,25,68,53,8,22,22,0,23,0,21,0,0,44,52,14,7,27,27,0,0,18,19,12,12,59,0,0,0,7,14,9,16,0,67,21,0,0,0,9,69,0,27,0,0,0,59,37,33,18,0,29,0,40,0,0,0,57,34,48,0,52,55,25,24,12,60,26,64,36,35,13,11,20,2,53,98,0,41,0,0,37,31,38,0,29,31,55,0,16,11,0,23,27,0,38,0,0,17,0,58,26,0,10,69,25,0,0,0,0,0,0,35,67,55,0,42,79,0,10,20,42,19,0,0,0,27,11,22,29,7,28,0,3,41,0,3,0,27,11,11,18,0,43,57,38,55,49,0,0,25,0,0,0,0,0,12,7,0,31,7,11,39,91,8,0,100,0,0,20,0,0,0,67,62,11,0,0,19,51,16,0,39,0,0,16,0
