,Date,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADS,ADSK,AEE,AEP,AES,AFL,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,ANTM,AON,AOS,APA,APD,APH,APTV,ARE,ATO,ATVI,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BAX,BBY,BDX,BEN,BF.B,BIIB,BK,BKNG,BKR,BLK,BLL,BMY,BR,BRK.B,BSX,BWA,BXP,C,CAG,CAH,CARR,CAT,CB,CBOE,CBRE,CCI,CCL,CDNS,CDW,CE,CERN,CF,CFG,CHD,CHRW,CHTR,CI,CINF,CL,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNC,CNP,COF,COG,COO,COP,COST,COTY,CPB,CPRT,CRM,CSCO,CSX,CTAS,CTL,CTSH,CTVA,CTXS,CVS,CVX,CXO,D,DAL,DD,DE,DFS,DG,DGX,DHI,DHR,DIS,DISCA,DISCK,DISH,DLR,DLTR,DOV,DOW,DPZ,DRE,DRI,DTE,DUK,DVA,DVN,DXC,DXCM,EA,EBAY,ECL,ED,EFX,EIX,EL,EMN,EMR,EOG,EQIX,EQR,ES,ESS,ETFC,ETN,ETR,EVRG,EW,EXC,EXPD,EXPE,EXR,F,FANG,FAST,FB,FBHS,FCX,FDX,FE,FFIV,FIS,FISV,FITB,FLIR,FLS,FLT,FMC,FOX,FOXA,FRC,FRT,FTI,FTNT,FTV,GD,GE,GILD,GIS,GL,GLW,GM,GOOG,GOOGL,GPC,GPN,GPS,GRMN,GS,GWW,HAL,HAS,HBAN,HBI,HCA,HD,HES,HFC,HIG,HII,HLT,HOG,HOLX,HON,HPE,HPQ,HRB,HRL,HSIC,HST,HSY,HUM,HWM,IBM,ICE,IDXX,IEX,IFF,ILMN,INCY,INFO,INTC,INTU,IP,IPG,IPGP,IQV,IR,IRM,ISRG,IT,ITW,IVZ,J,JBHT,JCI,JKHY,JNJ,JNPR,JPM,JWN,K,KEY,KEYS,KHC,KIM,KLAC,KMB,KMI,KMX,KO,KR,KSS,KSU,L,LB,LDOS,LEG,LEN,LH,LHX,LIN,LKQ,LLY,LMT,LNC,LNT,LOW,LRCX,LUV,LVS,LW,LYB,LYV,MA,MAA,MAR,MAS,MCD,MCHP,MCK,MCO,MDLZ,MDT,MET,MGM,MHK,MKC,MKTX,MLM,MMC,MMM,MNST,MO,MOS,MPC,MRK,MRO,MS,MSCI,MSFT,MSI,MTB,MTD,MU,MXIM,MYL,NBL,NCLH,NDAQ,NEE,NEM,NFLX,NI,NKE,NLOK,NLSN,NOC,NOV,NOW,NRG,NSC,NTAP,NTRS,NUE,NVDA,NVR,NWL,NWS,NWSA,O,ODFL,OKE,OMC,ORCL,ORLY,OTIS,OXY,PAYC,PAYX,PBCT,PCAR,PEAK,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKG,PKI,PLD,PM,PNC,PNR,PNW,PPG,PPL,PRGO,PRU,PSA,PSX,PVH,PWR,PXD,PYPL,QCOM,QRVO,RCL,RE,REG,REGN,RF,RHI,RJF,RL,RMD,ROK,ROL,ROP,ROST,RSG,RTX,SBAC,SBUX,SCHW,SEE,SHW,SIVB,SJM,SLB,SLG,SNA,SNPS,SO,SPG,SPGI,SRE,STE,STT,STX,STZ,SWK,SWKS,SYF,SYK,SYY,T,TAP,TDG,TEL,TFC,TFX,TGT,TIF,TJX,TMO,TMUS,TPR,TROW,TRV,TSCO,TSN,TT,TTWO,TWTR,TXN,TXT,UA,UAA,UAL,UDR,UHS,ULTA,UNH,UNM,UNP,UPS,URI,USB,V,VAR,VFC,VIAC,VLO,VMC,VNO,VRSK,VRSN,VRTX,VTR,VZ,WAB,WAT,WBA,WDC,WEC,WELL,WFC,WHR,WLTW,WM,WMB,WMT,WRB,WRK,WST,WU,WY,WYNN,XEL,XLNX,XOM,XRAY,XRX,XYL,YUM,ZBH,ZBRA,ZION,ZTS
0,2018-01-07,70,2,13,15,32,46,27,6,39,0,20,43,62,78,28,0,16,81,29,84,50,0,0,49,19,26,12,60,0,30,52,0,48,14,23,41,30,29,11,0,0,11,0,26,100,77,0,43,50,33,47,17,0,0,12,46,17,53,0,34,0,85,0,0,29,0,49,68,0,28,20,13,67,0,0,67,38,17,57,83,44,54,39,13,1,16,54,48,0,29,0,24,20,13,34,0,29,0,18,34,54,16,52,53,32,60,13,33,57,51,79,4,24,18,32,19,43,0,21,32,0,36,54,16,24,64,3,30,54,15,11,25,12,40,10,0,0,50,30,0,54,6,19,34,49,48,19,24,12,26,0,17,69,0,62,74,0,31,0,40,18,32,0,57,30,29,65,50,0,23,24,0,28,0,49,34,71,31,0,12,12,59,0,15,16,0,0,0,0,40,33,16,24,30,0,0,0,30,54,9,66,18,0,100,67,13,19,0,33,30,89,0,40,38,62,48,54,72,29,0,40,61,12,35,83,20,79,0,0,26,0,21,38,66,0,67,68,0,94,78,33,56,27,62,0,39,0,60,0,46,32,100,53,25,0,71,0,47,0,21,15,19,0,59,91,80,0,19,0,13,56,47,33,27,0,18,53,37,20,44,40,0,0,43,14,18,54,0,0,62,51,16,0,0,0,0,84,0,31,58,20,10,0,86,0,22,36,5,0,0,0,17,64,30,0,82,15,10,57,6,67,91,10,55,0,0,31,0,0,16,1,0,30,51,9,56,9,0,0,67,7,15,16,94,48,32,0,39,72,6,48,48,71,30,5,31,32,19,75,4,12,0,36,0,58,58,34,25,0,30,25,51,63,0,0,0,45,51,0,0,27,42,0,43,63,0,22,0,0,61,9,28,2,75,82,0,90,0,0,57,48,52,0,0,47,0,6,40,18,0,45,24,0,0,44,0,36,0,56,24,19,12,36,15,43,0,0,0,15,0,0,68,63,0,50,44,0,47,73,61,41,46,31,24,34,45,17,42,29,26,49,6,55,40,2,0,14,51,27,61,24,51,18,77,87,0,0,0,26,0,0,0,0,87,14,54,0,81,30,29,0,68,18,13,0,11,0,43,0,36,47,100,43,5,25,0,22,80,0,0,22,0,0,21,0
1,2018-01-14,73,0,13,17,8,67,27,23,78,0,21,22,90,44,38,24,31,87,29,65,0,0,24,0,0,26,13,53,0,10,49,0,35,72,30,62,27,27,16,0,16,6,49,69,14,78,0,49,25,27,0,21,0,0,70,0,18,58,34,46,0,72,0,4,45,0,30,52,0,14,100,21,14,0,0,87,0,17,34,60,45,57,20,25,0,0,68,53,0,29,0,24,20,0,23,0,21,0,64,51,57,22,53,88,97,49,26,0,0,54,79,6,0,18,46,19,54,0,52,42,0,12,68,16,0,61,8,54,53,8,56,0,12,20,16,0,0,54,31,9,0,6,0,34,25,49,0,0,12,21,0,12,79,0,72,100,0,32,0,41,0,0,0,48,36,19,48,0,0,58,24,28,17,0,46,24,75,24,0,38,0,67,0,16,0,0,48,0,0,81,40,0,0,0,0,0,0,70,81,8,29,45,0,69,40,24,19,38,58,41,84,0,0,44,63,0,24,66,45,0,30,61,0,15,0,20,34,47,0,0,0,0,0,22,0,100,56,14,16,26,11,28,31,54,12,30,32,40,0,43,33,14,58,25,0,67,0,0,0,12,0,20,0,68,100,57,5,32,19,38,81,0,17,55,0,30,79,57,0,30,60,16,0,17,28,9,27,0,0,63,26,12,0,25,0,0,79,0,34,68,40,11,0,40,0,22,37,4,0,0,0,34,33,15,0,78,15,5,38,19,65,77,8,33,56,0,38,0,0,0,1,0,61,17,9,47,9,0,0,34,2,15,32,24,0,33,78,26,29,6,49,0,90,0,10,0,0,29,65,2,0,0,0,25,64,46,34,26,0,56,0,58,0,0,0,0,35,55,0,61,41,28,0,33,13,11,0,0,20,37,12,14,0,62,31,30,41,0,32,23,31,26,0,24,0,0,0,20,15,34,39,83,0,0,48,0,36,0,69,21,20,12,37,0,65,24,45,52,15,0,0,82,64,0,77,44,0,0,49,35,21,16,0,24,0,23,9,21,25,16,0,11,52,40,3,0,56,80,52,82,25,57,36,50,81,0,0,0,9,0,0,48,0,18,42,38,0,21,20,44,0,78,0,14,93,23,0,40,0,18,95,51,50,13,50,0,20,61,36,0,33,0,0,11,0
2,2018-01-21,81,4,26,23,39,60,13,34,38,58,40,11,100,66,18,71,31,78,100,79,0,0,71,0,56,25,12,57,0,10,55,0,31,14,30,60,42,31,31,0,32,10,72,63,0,0,0,53,25,28,0,33,0,25,46,23,17,42,33,34,0,59,47,12,51,0,10,34,0,0,39,29,27,0,0,81,37,16,47,82,22,51,10,12,2,0,13,30,94,19,0,47,20,25,44,25,44,15,38,17,63,47,52,83,47,54,38,33,28,73,86,4,24,18,31,27,43,29,41,73,0,24,48,24,0,72,8,76,52,11,22,0,23,79,18,70,0,34,30,0,26,6,0,17,24,71,57,46,12,5,0,15,76,30,80,0,33,33,11,0,17,63,0,49,70,19,46,17,0,34,23,0,11,0,53,33,75,24,0,36,12,65,0,38,16,29,47,53,0,0,39,0,48,0,0,26,0,69,93,7,60,70,0,69,55,23,19,18,64,30,85,100,54,54,24,0,41,74,58,71,40,30,0,39,41,0,22,9,9,0,0,0,38,87,0,65,60,14,31,38,22,0,38,97,0,39,31,20,0,49,32,81,67,25,0,66,0,23,0,30,15,12,7,79,94,66,9,17,19,100,61,0,32,73,0,24,73,52,39,39,20,0,0,17,27,27,33,0,24,68,62,13,0,0,24,0,86,0,25,53,19,51,39,39,0,63,35,6,0,20,0,17,16,35,0,85,0,8,56,16,74,89,18,32,22,0,35,61,9,0,1,24,30,17,40,19,17,0,0,16,19,17,15,93,47,64,0,38,57,44,20,0,60,59,0,62,0,38,74,8,70,0,0,73,59,58,24,37,33,69,25,45,31,31,0,23,41,53,0,30,54,36,0,26,75,11,0,0,38,42,20,14,3,100,71,0,39,0,92,22,55,0,0,0,0,0,0,20,48,0,38,23,0,0,29,0,0,0,64,20,0,35,41,0,21,23,0,0,0,0,26,95,50,0,80,22,0,35,72,54,20,30,31,24,66,100,8,62,8,50,48,3,31,34,9,0,14,49,34,100,0,46,26,48,80,42,24,0,8,0,0,23,0,34,0,60,0,30,29,79,9,77,22,40,0,33,0,34,47,0,46,77,58,74,24,0,16,74,53,0,22,30,97,42,0
3,2018-01-28,87,4,51,40,61,66,13,17,25,0,0,42,72,68,37,23,15,67,28,99,0,0,23,0,37,100,48,68,0,20,25,0,64,69,80,46,31,64,5,0,16,12,23,50,14,100,0,61,98,46,0,52,31,0,0,22,21,36,0,11,32,67,0,4,80,0,29,17,0,13,38,20,39,55,0,88,38,32,83,71,87,53,19,12,0,61,52,59,48,19,0,0,97,0,34,0,46,0,17,0,51,35,61,75,63,53,12,32,46,55,92,8,12,0,36,21,38,0,51,53,0,23,66,48,24,70,8,100,53,4,44,24,24,20,20,0,0,69,0,25,27,9,0,0,33,34,0,0,12,10,0,31,78,0,65,72,0,36,0,40,35,0,100,57,30,48,46,81,0,68,69,0,34,0,58,36,89,29,0,12,47,76,99,46,0,71,0,0,0,20,47,0,48,59,0,40,0,29,66,9,53,80,29,70,38,40,37,19,40,10,58,0,30,63,25,24,75,60,15,0,19,30,12,64,20,40,45,9,9,0,0,21,95,21,0,57,67,0,62,26,22,28,41,43,11,58,31,0,0,54,16,53,74,24,0,76,0,0,0,42,30,35,14,95,95,50,5,27,0,25,55,0,37,67,27,41,73,40,0,68,69,0,0,68,54,27,65,100,0,69,25,15,0,0,48,0,89,24,56,79,29,10,39,26,0,43,37,6,94,0,65,17,32,12,0,92,29,18,56,9,90,74,34,22,32,0,33,61,0,0,0,0,45,33,16,82,9,0,0,17,7,20,23,47,0,64,0,13,14,31,34,0,84,0,14,0,0,38,53,2,0,0,0,24,55,88,33,38,80,70,76,79,61,30,0,23,52,56,60,0,0,27,0,45,50,0,0,0,58,66,19,85,1,52,41,0,20,49,31,23,49,0,0,24,0,0,0,39,15,67,58,23,0,0,21,45,18,0,74,26,19,23,50,30,42,0,29,0,45,17,0,100,71,0,83,0,0,35,47,57,20,23,0,47,33,22,0,73,33,34,49,11,47,28,5,34,55,58,33,71,24,61,96,56,73,42,24,0,26,0,0,0,0,52,27,41,0,10,26,29,0,86,13,27,0,56,0,39,47,36,0,43,49,100,24,0,17,66,36,0,33,31,0,25,43
4,2018-02-04,85,4,26,34,16,100,27,6,26,19,40,43,55,54,28,47,31,100,14,63,0,48,71,48,38,25,25,67,0,10,52,0,39,57,67,53,15,67,26,0,48,14,0,55,0,25,47,58,50,51,0,20,0,25,23,23,17,34,33,34,0,53,0,0,57,0,29,51,79,0,46,25,0,0,0,95,0,33,42,85,43,100,39,37,2,15,93,34,0,37,11,46,20,25,88,25,31,0,73,33,63,68,62,68,15,42,64,33,0,77,88,4,12,18,48,24,66,29,30,80,0,36,63,16,0,77,5,46,53,37,33,24,58,0,12,0,93,77,0,26,26,25,19,82,0,42,19,46,46,45,0,18,88,0,70,49,0,36,11,39,17,0,0,44,12,37,64,33,0,33,23,0,33,0,55,40,80,37,0,12,0,44,97,7,48,72,0,0,0,39,50,0,0,0,0,52,0,49,72,12,52,35,0,55,72,68,18,18,48,10,53,0,15,68,61,0,100,99,14,94,50,29,0,24,20,59,11,9,0,0,0,42,19,0,0,73,64,14,15,13,37,27,35,51,0,73,0,39,0,68,0,67,78,25,0,77,0,23,19,44,58,28,0,93,90,52,0,20,19,25,84,47,44,39,0,24,83,74,19,53,48,16,0,50,40,9,73,0,0,73,25,13,16,24,0,0,86,50,49,37,10,61,0,26,0,21,45,6,0,20,0,16,16,41,0,97,28,10,55,19,92,69,30,53,0,32,48,0,9,0,0,24,59,0,11,56,9,0,0,33,11,23,46,23,47,31,38,100,57,6,61,47,86,30,9,31,0,37,42,0,34,0,0,73,57,58,42,18,49,29,25,56,0,0,0,22,44,54,20,0,27,31,0,48,74,0,21,92,38,65,27,14,1,63,67,60,10,0,31,11,56,26,31,23,47,0,0,0,21,33,50,80,25,0,22,0,17,0,85,23,0,11,46,15,21,0,0,0,15,0,25,95,59,0,63,64,0,23,24,39,20,23,0,48,33,33,34,51,48,95,24,8,57,17,3,0,27,59,35,20,47,63,9,69,79,0,0,0,8,0,0,0,0,17,41,45,0,69,39,35,28,77,31,13,90,76,0,40,46,0,0,49,70,86,0,48,30,62,0,0,21,0,32,55,0
5,2018-02-11,80,0,39,25,39,66,41,23,52,20,20,76,52,59,37,48,93,69,22,67,0,0,48,0,19,32,0,62,47,10,88,0,29,72,8,68,31,49,100,0,32,15,0,21,29,26,0,58,50,16,47,17,32,26,0,23,16,47,0,17,33,66,48,8,58,0,10,17,0,42,33,8,27,0,0,89,37,17,67,67,33,64,39,0,0,47,67,35,47,38,22,0,20,25,44,0,29,0,71,17,50,100,31,78,0,30,0,0,38,58,78,13,24,18,27,68,48,0,82,100,0,12,61,8,47,74,14,41,48,23,22,24,47,20,28,36,0,56,0,9,26,13,19,100,16,81,19,23,12,35,0,21,83,30,86,49,0,32,43,60,17,63,25,49,29,0,47,17,0,11,24,0,11,0,44,20,68,34,0,73,12,66,0,30,0,44,23,53,0,40,42,0,24,0,33,0,0,50,64,4,53,44,57,74,67,22,0,18,88,10,48,51,25,71,37,24,53,64,29,24,50,30,0,15,0,20,33,18,19,0,0,21,76,22,0,72,65,0,62,13,54,27,36,28,11,54,32,40,0,30,16,14,78,75,0,68,0,0,0,37,29,28,0,68,92,49,14,29,0,38,49,47,24,60,0,30,74,65,39,34,49,0,0,42,27,27,47,0,24,66,0,12,0,24,0,0,99,0,39,81,29,72,39,99,21,21,38,5,0,20,0,0,16,45,0,100,14,15,56,9,100,84,22,54,67,0,42,0,0,0,2,0,67,33,11,56,18,0,0,99,2,18,8,23,0,0,39,82,14,0,14,48,71,0,0,62,32,47,74,2,0,0,0,25,48,52,85,25,17,64,25,39,0,0,91,0,52,55,0,0,0,31,0,55,100,22,0,0,19,54,26,14,0,70,61,0,59,49,0,34,41,0,0,71,0,39,0,60,21,0,44,35,0,0,22,0,18,0,72,19,0,23,16,15,0,0,59,0,15,0,0,78,40,0,95,54,0,23,0,47,20,38,0,48,0,45,17,31,20,75,0,8,62,97,4,0,41,47,26,40,0,62,72,45,67,56,24,0,9,0,49,0,0,17,41,50,0,40,23,36,0,79,18,26,0,77,0,21,0,0,47,21,71,30,24,0,31,88,18,0,54,0,0,56,42
6,2018-02-18,82,2,65,18,31,70,27,17,26,20,20,65,53,74,56,24,54,96,43,79,0,0,24,0,38,13,12,64,93,20,42,0,24,43,30,40,37,45,84,0,0,10,24,77,14,0,48,55,25,14,47,16,0,26,0,0,13,43,0,0,33,54,0,0,43,0,29,17,0,28,39,17,0,0,0,77,19,49,24,45,54,42,10,74,0,47,27,69,0,0,11,0,0,25,33,0,18,0,35,0,42,41,42,71,47,36,0,66,38,48,86,6,48,18,45,35,100,0,51,67,0,12,55,16,47,64,11,61,56,23,33,49,35,20,22,0,0,56,15,17,27,9,0,33,8,48,38,23,35,15,0,18,83,30,73,49,0,36,11,0,0,0,25,43,35,28,29,100,0,23,23,28,0,92,50,17,70,29,50,24,24,58,0,30,0,15,0,0,0,20,36,0,0,0,65,13,31,30,66,6,81,71,0,66,72,36,74,37,40,30,56,0,34,66,49,0,30,60,0,0,10,30,0,25,0,59,100,55,9,0,41,21,94,44,21,68,92,0,15,38,0,55,33,39,23,38,0,20,0,56,0,18,77,25,0,64,0,23,0,22,29,21,0,75,94,69,0,25,19,63,43,0,41,20,0,18,70,46,0,49,20,31,0,42,68,9,13,0,0,70,38,9,0,0,0,0,100,0,41,94,39,62,0,33,43,21,30,4,0,39,0,0,32,18,0,93,14,5,19,13,100,76,12,32,0,33,51,0,0,0,2,0,52,17,7,37,9,0,0,0,2,20,31,23,0,32,77,32,43,19,20,0,81,0,5,0,0,47,21,4,47,0,0,24,41,39,38,19,16,59,25,45,0,0,0,23,41,58,20,0,0,28,41,32,63,11,0,47,38,30,17,28,1,86,41,0,40,49,0,45,36,26,0,0,0,0,0,0,9,33,61,23,0,47,18,0,18,0,63,27,19,35,62,45,21,23,15,0,0,17,0,75,40,25,72,54,0,23,0,54,0,23,0,48,0,22,8,42,41,34,0,3,23,23,2,0,27,66,25,20,0,49,27,45,77,28,49,0,0,0,0,0,61,0,0,35,0,100,13,14,19,78,18,26,0,44,0,100,0,18,0,49,45,27,0,0,21,66,0,0,11,0,0,42,0
7,2018-02-25,80,0,64,28,23,82,0,17,63,19,0,64,48,42,0,47,15,87,35,80,0,48,23,0,19,13,24,63,0,30,35,0,27,28,29,40,33,37,31,0,32,12,0,75,14,25,0,53,37,24,0,20,0,0,34,0,15,44,0,50,0,69,0,4,36,42,19,17,39,14,32,33,13,0,0,82,18,32,23,59,0,43,48,24,0,0,26,47,0,75,11,0,39,12,66,24,28,0,48,66,48,37,41,70,15,29,25,98,18,55,86,4,12,0,44,37,47,29,30,60,0,35,44,31,23,74,5,43,58,11,11,0,46,0,10,35,0,86,15,8,26,10,9,66,32,33,19,46,35,25,0,15,78,30,73,48,0,32,21,20,51,31,25,49,46,9,34,16,0,45,0,27,11,0,56,17,72,27,0,24,12,79,0,7,48,43,23,53,0,20,37,0,47,0,64,0,31,29,70,7,52,87,28,67,71,38,37,18,48,10,42,0,24,69,12,0,58,60,86,0,29,88,12,39,0,59,22,18,9,0,81,62,0,22,0,38,72,27,15,38,16,27,33,47,11,29,31,39,0,35,31,22,72,0,36,78,0,23,0,37,29,25,35,76,97,78,9,24,0,0,66,0,40,26,27,29,77,48,19,38,39,16,0,50,27,18,46,0,0,60,49,2,0,0,23,7,96,0,44,76,48,51,0,26,42,21,41,3,0,39,0,66,31,14,0,86,14,15,37,6,87,68,16,11,0,0,37,0,26,47,1,24,44,33,13,28,17,0,0,49,5,17,8,69,0,31,0,25,70,19,34,0,53,0,9,0,31,9,31,2,0,100,0,0,47,57,42,12,0,63,0,33,31,0,0,0,37,59,0,0,27,36,40,19,12,22,21,46,0,41,37,0,1,85,63,0,49,0,31,78,50,0,93,0,46,0,0,39,6,99,55,46,0,0,22,0,70,0,58,36,0,57,40,0,0,46,43,0,0,17,51,77,49,0,90,21,0,23,0,68,20,15,0,71,33,22,25,0,8,40,0,8,42,39,0,100,54,52,18,49,0,59,70,41,80,28,48,0,0,0,0,23,0,0,40,33,0,49,32,35,28,86,18,26,0,65,0,45,46,35,92,63,80,17,48,0,19,56,17,0,64,0,0,52,0
8,2018-03-04,78,2,13,21,31,63,0,34,64,58,60,21,43,78,56,95,38,90,0,72,50,0,24,0,57,19,12,57,0,20,62,0,25,71,37,20,45,37,47,0,32,16,24,81,0,0,0,50,37,10,0,20,63,0,11,0,17,40,33,17,0,49,95,4,51,52,10,17,0,14,39,37,0,0,0,83,0,0,42,61,87,37,19,12,1,0,53,60,0,47,0,0,0,13,100,0,39,0,38,17,51,28,73,55,47,60,38,0,37,21,84,17,24,18,53,40,33,29,31,80,0,24,55,56,23,62,8,50,53,15,44,24,23,40,10,0,0,75,30,68,26,11,28,33,0,48,0,23,23,40,12,23,77,0,70,25,0,35,11,20,35,31,25,52,70,9,17,17,0,90,23,55,22,0,42,7,65,24,0,12,12,61,98,15,16,15,47,0,0,40,35,16,48,29,33,0,31,0,53,4,56,44,0,64,44,26,74,73,40,39,82,0,10,56,12,0,29,63,0,0,40,0,12,15,20,40,55,46,9,0,0,21,0,22,0,68,48,42,31,25,38,55,33,60,0,48,31,20,0,55,32,36,66,25,18,75,0,0,0,31,29,19,50,82,90,53,5,21,0,13,67,0,49,40,0,42,74,46,20,34,29,47,0,59,13,27,20,0,24,61,50,6,32,24,24,0,96,50,44,70,48,62,39,66,21,21,32,6,0,0,0,33,63,44,0,89,14,15,19,16,78,55,17,32,22,33,65,0,9,16,0,0,60,33,24,47,18,0,0,0,9,16,46,46,0,0,77,32,28,0,41,0,76,0,5,0,0,19,42,2,23,0,0,24,59,39,47,25,0,59,50,6,0,0,0,0,45,56,0,0,40,36,20,39,0,11,0,93,19,30,29,14,1,86,74,60,30,49,93,22,47,26,31,0,0,0,0,0,9,0,38,46,25,0,7,46,0,37,66,27,57,23,56,15,43,0,58,0,15,17,0,74,40,49,83,32,0,58,48,71,20,15,0,48,33,33,17,83,8,44,0,0,46,28,2,0,41,55,30,20,24,62,62,45,87,14,0,0,34,0,0,0,0,0,0,26,0,60,13,72,9,70,13,26,0,44,30,43,47,0,0,21,87,10,0,0,15,55,0,47,11,0,0,49,42
9,2018-03-11,71,0,26,20,31,71,40,17,0,58,100,86,44,39,18,47,31,70,21,67,0,0,0,0,75,6,37,54,0,100,52,0,34,28,7,40,28,41,31,0,0,11,48,63,28,0,0,47,75,26,0,90,0,51,11,0,16,40,100,6,0,82,0,0,65,17,10,17,40,27,71,8,0,0,0,80,0,65,19,51,65,41,39,12,2,0,13,34,0,19,33,0,39,25,66,25,39,0,35,33,45,22,10,55,31,36,0,66,47,44,86,4,12,18,22,35,33,29,10,73,0,24,51,8,0,61,3,29,51,26,44,0,0,0,10,35,0,59,30,25,0,8,0,17,16,43,57,0,12,15,12,17,77,0,81,24,0,28,11,0,0,62,25,49,12,19,17,17,0,67,0,0,11,0,47,13,65,20,0,12,0,58,0,15,16,43,23,0,48,20,38,0,71,0,0,0,0,10,49,2,68,61,29,51,17,34,0,18,64,10,66,0,15,54,24,0,23,47,43,0,40,30,0,49,41,0,0,27,19,0,41,42,38,22,0,42,56,28,0,64,27,54,28,64,0,26,31,0,0,42,0,22,63,49,0,69,0,47,0,31,73,24,35,64,86,69,9,12,0,0,66,0,32,60,13,18,79,49,39,63,29,31,0,34,27,9,33,0,48,62,37,6,0,24,24,7,79,50,38,70,19,31,0,46,0,42,29,3,0,0,0,33,63,18,0,86,14,8,37,6,69,34,12,11,33,65,79,0,0,0,0,0,30,17,19,19,17,0,0,16,2,15,100,69,0,32,0,25,28,25,54,47,71,30,28,31,31,56,42,0,35,0,0,49,46,64,28,31,16,34,50,78,0,61,0,0,38,53,0,60,0,25,20,48,50,22,21,0,19,12,46,28,1,64,64,0,59,0,31,90,44,0,0,0,47,0,0,39,9,0,39,0,0,47,18,0,0,0,53,33,0,34,31,30,43,23,15,0,0,0,0,69,32,25,41,43,0,23,24,54,20,8,0,24,33,56,8,52,41,50,24,3,69,6,3,34,41,58,20,40,48,49,79,38,76,14,24,0,8,0,0,0,0,17,14,22,0,50,13,79,19,79,9,26,0,55,88,35,0,18,0,42,42,25,0,0,14,48,0,0,43,0,0,69,0
