,Date,Entire US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,7/7/2019,57,59,63,56,57,58,54,54,57,54,56,59,53,50,56,59,54,60,61,53,59,57,60,52,55,59,61,52,60,56,55,56,55,61,62,49,55,63,57,55,62,62,57,62,61,58,50,58,58,57,53,
1,7/14/2019,58,59,64,55,59,58,55,54,59,54,57,55,54,49,57,58,54,59,60,56,58,57,60,52,54,60,60,51,58,56,56,55,55,70,61,50,58,64,56,55,61,61,57,64,61,57,49,57,58,55,52,
2,7/21/2019,58,61,65,56,59,58,55,54,61,54,57,56,53,51,57,60,54,58,64,57,59,58,61,52,54,59,59,52,60,58,57,55,54,65,61,48,55,64,54,55,61,61,57,63,63,56,50,58,60,55,51,
3,7/28/2019,58,61,63,57,57,58,56,53,59,52,56,59,54,51,56,60,56,58,61,57,60,57,60,53,54,60,60,52,58,57,57,54,54,61,62,49,53,64,55,56,61,61,56,71,63,60,49,57,60,56,52,
4,8/4/2019,57,60,62,57,59,57,54,53,57,51,56,59,53,51,57,60,56,58,63,57,59,55,60,52,53,58,59,52,59,58,54,55,54,61,62,50,53,64,55,56,60,62,55,74,62,57,48,57,57,55,51,
5,8/11/2019,59,62,63,58,60,58,57,53,60,51,56,60,54,52,59,68,55,59,63,59,59,56,61,53,54,61,61,53,61,58,55,55,55,66,63,51,55,66,56,56,60,62,58,69,63,58,50,57,59,55,50,
6,8/18/2019,58,61,61,58,62,58,56,53,57,53,56,60,53,51,58,69,54,60,66,59,60,55,60,51,53,62,62,52,64,59,55,53,55,62,62,49,55,66,55,57,60,63,60,68,64,59,49,57,58,58,52,
7,8/25/2019,56,59,61,59,60,57,55,52,55,52,51,55,52,52,57,62,58,60,63,59,53,54,59,49,52,63,61,53,63,56,53,51,54,56,62,53,57,66,53,56,58,60,62,69,65,58,50,55,56,57,51,
8,9/1/2019,54,58,58,55,56,55,53,52,57,51,49,54,52,49,56,61,56,57,61,57,55,54,58,50,50,59,58,50,60,55,53,50,54,57,58,49,53,63,52,55,59,53,57,60,61,55,48,53,54,56,49,
9,9/8/2019,59,63,63,59,60,57,56,56,63,57,56,57,52,53,60,63,63,64,63,60,57,58,63,56,56,65,64,54,64,58,55,56,56,60,67,52,57,67,55,60,65,64,62,66,66,59,53,59,57,60,54,
